rowid,kepid,is_exoplanet,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_slogg,koi_srad,ra,dec,koi_kepmag
3877,3751231,0,0.570953851,131.5725,0.059,0.998,76.1,1.01,2464,8688.17,8.9,1,q1_q17_dr25_tce,6238,4.396,1.145,292.58865,38.80143,15.212
3879,7816665,0,4.29258258,131.77675,0.339,3.069,369.6,1.87,1161,428.77,16.1,1,q1_q17_dr25_tce,6137,4.487,0.963,289.91635,43.507671,15.888
3880,9535881,0,0.960842633,131.777663,1.341,2.6441,2022.9,67.53,2808,14655.53,176.1,1,q1_q17_dr25_tce,7381,4.186,1.597,295.5596,46.17804,13.402
3881,11616596,0,14.5893928,136.1407,,15.54,,,,102.46,,1,q1_q17_dr25_tce,,,,294.74988,49.663441,12.616
3882,9872831,1,5.49548533,133.63966,0.202,2.461,85.8,1.3,1293,661.04,14.2,1,q1_q17_dr25_tce,6157,4.159,1.392,281.89731,46.722664,13.95
3884,8508126,0,0.980505042,132.097771,1.206,1.4068,426.6,26.35,1904,3100.61,51.5,2,q1_q17_dr25_tce,5794,4.372,1.059,296.34799,44.501961,15.198
3885,12306058,1,20.4853893,146.9183,0.834,10.229,89.5,3.6,1015,251.16,17.9,2,q1_q17_dr25_tce,4938,3.45,3.324,290.62183,51.057301,13.007
3886,8507475,1,3.58273837,134.95108,0.143,1.523,360.5,1.64,1064,302.74,11.6,1,q1_q17_dr25_tce,5448,4.517,0.872,296.159,44.56311,15.965
3887,8773015,1,15.604841,131.9989,0.715,4.543,73.4,1.57,1013,248.62,15.3,1,q1_q17_dr25_tce,6254,4.019,1.706,298.20261,44.925831,13.096
3888,4754831,0,75.681309,167.6921,0.6194,11.62,107.7,1.64,560,23.25,9.1,,,6297,4.155,1.506,294.05481,39.845249,12.211
3889,3531231,0,62.060783,134.4944,0.928,28.203,472.9,2.11,400,6.07,19.9,1,q1_q17_dr25_tce,5526,4.578,0.784,287.24524,38.68808,15.745
3891,5471489,0,12.4252735,141.5658,0.171,20.756,84.7,2.37,1299,673.53,36.6,1,q1_q17_dr25_tce,6156,3.703,2.557,297.66504,40.681992,13.046
3893,9011874,0,361.54561249,190.4475347,,25.28,,,,,,,,,,,287.82489,45.34808,15.894
3895,9936080,0,355.79978,346.7189,0.4433,5.972,172.3,1.87,324,2.6,10.5,,,6350,4.225,1.394,283.72427,46.879112,12.674
3896,8611344,0,410.99389,190.8191,0.3421,12.01,550,2.09,220,0.55,8.7,,,5471,4.533,0.898,285.75586,44.724998,15.46
3897,9518651,0,2.17823752,132.00513,0.037,2.259,44,0.64,1473,1114.8,10.1,1,q1_q17_dr25_tce,6052,4.422,0.969,288.19992,46.149422,14.102
3898,2305311,0,1.404674486,131.55621,0.8171,5.056,155.5,0.86,1126,379.5,20.7,1,q1_q17_dr24_tce,4716,4.65,0.609,291.97629,37.668652,14.962
3899,6383595,0,24.9097436,143.0403,0.5729,3.856,150.2,2.24,912,163.58,9.7,,,6596,4.037,1.757,297.16177,41.775822,13.073
3900,11080405,1,12.3101351,141.8765,0.783,3.797,263.7,1.51,651,42.42,12.9,2,q1_q17_dr25_tce,5009,4.491,0.84,289.85889,48.693851,15.629
3901,11509504,1,2.61576515,131.97896,0.25,2.777,120.4,1.06,1379,851.6,15.1,1,q1_q17_dr25_tce,6088,4.446,0.958,292.98834,49.48497,15.18
3902,6599949,0,409.2452,265.2465,0.0176,13.06,531.2,2.1,244,0.84,12.8,1,q1_q16_tce,5910,4.466,0.911,289.90698,42.0462,15.42
