"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
2157,5906426,"K02377.01",13.903405699999999,143.52317,0.871,3.4080000000000004,261.40000000000003,1.55,646,41.08,15.3,5261,4.523,0.8190000000000001,"CONFIRMED",0.8256165671499311,0.17438343285006888
2161,12208631,"K02449.01",53.3580444,138.38497999999998,0.905,6.812,736.1,3.41,474,11.94,19.700000000000003,5481,4.369,1.036,"CONFIRMED",0.9203295925092659,0.07967040749073405
2166,7879433,"K02527.01",1.3857877410000001,135.49119,0.35000000000000003,1.6449,85.4,0.55,1008,245.15,19.1,4239,4.667,0.6,"CONFIRMED",0.610400277382444,0.3895997226175561
2167,9205907,"K02528.01",12.022953620000001,136.20686999999998,0.9650000000000001,1.2667000000000002,778.6,3.2800000000000002,776,85.78,20.1,5982,4.535,0.879,"CONFIRMED",0.744579275601866,0.255420724398134
2173,2443393,"K02603.01",73.711039,202.7848,0.28400000000000003,10.062000000000001,136.70000000000002,1.77,563,23.81,21.1,6374,4.1930000000000005,1.502,"CONFIRMED",0.8577677433755748,0.14223225662442512
2174,9019191,"K02604.01",14.433483260000001,143.60783,1.185,2.6630000000000003,526.8000000000001,16.25,558,22.91,14.8,4915,4.627,0.7020000000000001,"FALSE POSITIVE",0.05026773172617527,0.9497322682738247
2176,3002478,"K02380.01",6.3570531400000005,135.47755999999998,0.023,1.324,272.2,1.59,990,227.07,17.3,5982,4.493,0.96,"CONFIRMED",0.8709834443660968,0.12901655563390324
2180,8631751,"K02453.01",1.5305152050000002,131.867506,0.882,0.5945,659.7,0.84,608,32.46,23.200000000000003,3462,5.0040000000000004,0.259,"CONFIRMED",0.7703375573274952,0.22966244267250477
2187,4172746,"K02531.01",17.6997392,140.94958,0.10500000000000001,2.7600000000000002,752.7,1.96,523,17.73,19.8,4807,4.583,0.742,"CONFIRMED",0.8921238115387026,0.10787618846129746
2188,5174858,"K02532.01",7.970971899999999,134.0507,0.911,1.2893000000000001,488.40000000000003,2.27,760,79.10000000000001,17.3,5237,4.572,0.8260000000000001,"CONFIRMED",0.8506995283108209,0.14930047168917918
2193,5095635,"K02607.01",0.7544577290000001,134.983522,0.677,0.5891000000000001,248.20000000000002,2.07,2131,4879.62,31.1,5561,4.25,1.193,"FALSE POSITIVE",0.13732098993979214,0.8626790100602079
