"rowid","kepid","kepoi_name","koi_period","koi_time0bk","koi_impact","koi_duration","koi_depth","koi_prad","koi_teq","koi_insol","koi_model_snr","koi_steff","koi_slogg","koi_srad","predict","CONFIRMED","FALSE POSITIVE"
6846,12418418,"K05971.01",493.30572000000006,361.88419999999996,0.327,5.425,404.5,1.08,149,0.12,7.2,4558,4.697,0.548,"FALSE POSITIVE",0.02429141254723072,0.9757085874527692
6850,11021266,"K05852.01",235.413973,307.0728,0.1095,3.065,1027.0,3.2,304,2.0300000000000002,6.9,6028,4.468,1.0010000000000001,"FALSE POSITIVE",0.016513523019850256,0.9834864769801498
6852,11026582,"K05854.01",240.57135000000002,239.50352999999998,0.457,11.164,921.5,2.93,302,1.96,36.9,6146,4.497,0.9430000000000001,"FALSE POSITIVE",0.2805753331333399,0.7194246668666602
6853,11036168,"K05855.01",217.792748,210.6893,0.926,4.695,1487.0,6.15,334,2.94,16.6,5600,4.2090000000000005,1.283,"FALSE POSITIVE",0.30810655775666235,0.6918934422433376
6857,12554212,"K05974.01",4.76815507,131.85685999999998,0.046,2.115,61.0,0.49,761,79.48,9.200000000000001,4680,4.618,0.649,"FALSE POSITIVE",0.21999055287241936,0.7800094471275807
6872,11100170,"K05869.01",114.40618699999999,225.71269999999998,0.27290000000000003,4.92,1306.0,2.42,267,1.21,11.4,4641,4.589,0.6910000000000001,"FALSE POSITIVE",0.4088662361204624,0.5911337638795375
6876,11152511,"K05874.01",287.33114,360.84119999999996,0.529,12.722000000000001,406.70000000000005,2.07,266,1.18,19.700000000000003,5426,4.378,1.0070000000000001,"FALSE POSITIVE",0.2566270117722452,0.7433729882277549
6879,11183752,"K05877.01",230.358183,233.7677,0.41590000000000005,2.031,1023.0,2.87,289,1.6600000000000001,6.2,5803,4.465,0.884,"FALSE POSITIVE",0.022513523019850254,0.9774864769801498
6889,11348610,"K05888.01",190.860818,256.5195,0.46680000000000005,2.823,512.0,1.84,273,1.32,6.2,5463,4.578,0.803,"FALSE POSITIVE",0.014410958915948869,0.9855890410840511
6895,11407847,"K05895.01",11.830772399999999,140.1105,0.5920000000000001,8.791,136.0,1.16,770,83.17,12.4,5550,4.4110000000000005,0.9580000000000001,"FALSE POSITIVE",0.3912301347702742,0.6087698652297258
6897,8355178,"K06178.02",33.814175999999996,142.4542,0.1563,7.69,222.60000000000002,1.49,589,28.41,8.1,6122,4.471,0.996,"FALSE POSITIVE",0.17269956455379726,0.8273004354462028
6898,8374077,"K06179.01",16.2957847,133.6205,0.603,5.16,409.8,2.13,744,72.62,14.200000000000001,6063,4.476,1.012,"CONFIRMED",0.5911881663650275,0.40881183363497253
6899,8494783,"K06180.01",28.201998,146.9903597,,3.8600000000000003,,,,,,,,,"FALSE POSITIVE",0.00218200299795717,0.9978179970020429
6902,8590149,"K06182.01",19.240582099999997,138.7454,0.258,4.99,207.4,1.19,565,24.17,9.0,5031,4.485,0.848,"FALSE POSITIVE",0.3488732768520713,0.6511267231479287
6903,8590149,"K06182.02",28.684307999999998,148.2364,0.013800000000000002,4.640000000000001,282.3,1.35,512,16.27,9.1,5243,4.49,0.8210000000000001,"FALSE POSITIVE",0.31962580915540456,0.6803741908445955
6904,3559935,"K00492.02",265.29617,297.87039999999996,0.33230000000000004,4.1000000000000005,608.0,2.99,302,1.97,5.9,5589,4.2700000000000005,1.218,"FALSE POSITIVE",0.026513523019850254,0.9734864769801498
6905,9285265,"K03410.02",61.569765,182.02009999999999,0.48600000000000004,9.75,298.3,2.44,530,18.66,10.9,5626,4.149,1.389,"CONFIRMED",0.5602390839457512,0.43976091605424883
6908,6364582,"K03456.02",486.12702,426.1722,0.36210000000000003,9.495000000000001,120.60000000000001,1.18,249,0.91,8.1,6008,4.373,1.062,"FALSE POSITIVE",0.006023255813866854,0.9939767441861331
