rowid,kepid,kepoi_name,koi_period,koi_time0bk,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_model_snr,koi_steff,koi_slogg,koi_srad
1274,7222086,K01701.01,2.43902575,133.58474,0.483,1.1598,82.5,2.61,2307,6700.04,20.5,6546,3.817,2.784
1275,12406749,K01476.01,56.3587987,222.31819,0.906,6.927,2559.6,5.04,419,7.29,44.4,5446,4.525,0.821
1277,7811397,K01477.01,169.4976085,228.99997,0.625,7.77,12192,9.06,272,1.29,82.8,5270,4.592,0.787
1283,5282049,K01545.01,5.910371418,360.2852478,0.065,3.88962,17219,12.62,1053,290.83,990.3,6200,4.488,0.958
1284,5475431,K01546.01,0.917568975,133.932419,0.667,2.0654,15805,11.92,1748,2197.57,128.1,5713,4.541,0.893
1287,5039228,K01597.01,7.79668781,134.42081,0.005,4.6699,361.3,2.44,1116,366.42,48.5,6521,4.352,1.276
1291,7386827,K01704.01,10.4188915,137.74971,0.856,3.0069,670,3.17,855,126.48,42.1,5692,4.36,1.064
1292,7522911,K01705.01,20.4998763,131.82068,0.943,6.501,437.8,2.8,731,67.67,21.1,6249,4.428,1.076
1296,7512982,K01480.02,7.00447892,137.89902,0.139,2.669,231.4,1.19,754,76.26,9.9,4883,4.515,0.808
1300,5283458,K01547.01,30.69395532,365.665214,0.001,2.9512,18121,13.72,614,33.69,196.6,6137,4.46,1.018
1307,5474613,K01599.01,20.4074846,140.1821,0.986,8.839,363.4,2.9,660,44.8,24.5,5823,4.472,0.972
1311,7750419,K01708.01,32.7737631,151.44352,0.971,3.416,564.5,5,686,52.22,21.7,5640,4.076,1.534
1321,7984047,K01552.01,77.63424586,417.153212,0.113,4.1002,16612,9.4,325,2.65,185.5,4812,4.548,0.755
1346,9030537,K01892.01,62.5613879,178.40847,0.842,5.907,1372.6,3.54,417,7.13,35,5662,4.56,0.84
1349,5513648,K01962.01,32.85862571,133.51202,0.955,3.1483,162.8,2.31,691,53.85,36.4,5899,4.135,1.414
1351,7887791,K01964.01,2.229326354,133.09423,0.249,1.9946,49.1,0.6,1273,621.53,24.6,5587,4.525,0.865
1355,9634821,K02037.01,73.7578875,183.72348,0.714,2.69,1836.9,4.28,375,4.66,20.2,5029,4.429,0.93
1356,9634821,K02037.03,8.56267266,355.13518,0.335,1.53,608.1,2.26,768,82.22,15.2,5029,4.429,0.93
1361,11601584,K01831.03,34.205785079,148.8050925,0.319,5.1691,183.2,1.1,471,11.67,11.6,5191,4.53,0.826
1362,11601584,K01831.04,13.97945055,142.33829,0.924,1.2325,356.1,1.97,635,38.44,17.1,5191,4.53,0.826
1368,5695524,K01897.01,59.7711433,148.96886,0.899,4.843,574.5,3.17,522,17.53,38.5,6214,4.382,1.122
1370,7948784,K01968.01,10.08744556,135.13582,0.921,2.9884,568.1,3.15,942,186.14,39.9,6310,4.417,1.095
1371,9244756,K01969.01,16.34355902,145.04116,0.716,5.474,829.4,3.26,730,67.34,34,5730,4.394,1.056
1378,8804845,K02039.01,5.42586901,135.86589,0.1,2.5342,259,1.48,973,211.66,26.1,5594,4.489,0.934
1379,10480915,K02040.01,19.58561177,132.36472,0.964,1.755,532.9,3.09,666,46.51,27.1,5618,4.401,0.996
1389,3629967,K01901.01,85.6542476,155.12346,0.012,6.866,476,3.56,522,17.51,36.6,5818,4.065,1.647
1391,11253711,K01972.01,17.79108667,149.25344,0.654,2.662,414.2,2.88,830,112.09,39.8,5855,4.148,1.34
1395,9111849,K02042.01,63.0732241,191.2532,0.746,5.397,671.3,17.8,1077,317.78,30,6234,3.209,6.354
1397,3448130,K02043.01,78.5461106,144.06871,0.044,8.689,658.7,3.55,501,14.85,35.6,5808,4.172,1.397
